"","NYG","CHI","KC","CLE","NO","DET","TEN","MIN","NYJ","HOU","ARI","GB","TB","DEN","BAL","OAK","MIA","JAX","CIN","BUF","PHI","CAR","NE","IND","LA","SEA","PIT","LAC","SF","ATL","DAL","WAS"
"NYG",0,0,0,14,20,0,0,0,0,0,0,20,8,0,0,0,0,0,0,0,16.5,20,0,0,0,0,0,0,20,0,0,0
"CHI",0,0,0,0,0,4,20,6,0,0,14,0,0,0,0,0,0,20,0,0,0,1,0,20,16,0,0,0,0,0,14,0
"KC",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"CLE",0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1.5,0,0,0,0,0,0,0,0,1,0,0,0,0
"NO",0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,14,0,0,0,0,0,0,7,0,0,3,0
"DET",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,3,0,0,0,5,4,0,0,0,0,0,0
"TEN",0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,20,4.5,0,1,0,0,0,0,0,0,3,0,0,0,0,0
"MIN",0,0,0,0,0,8,20,0,0,17,6,0,0,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,11,0,0,0
"NYJ",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,20,14,0,0,0,0,0,0,0
"HOU",0,7,0,0,0,9,18,0,6,0,0,0,0,6,20,0,20,13,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"ARI",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3,0,0,0,20,0,2,0,0,0,0,0,0,0,0,0
"GB",0,10.5,0,0,1,4.5,20,3,0,19,14,0,0,0,0,0,0,8,0,0,0,0,0,0,10,0,0,0,0,0,0,0
"TB",0,0,20,0,0,0,0,19,0,0,0,0,0,0,0,10,0,0,0,0,0,6.5,0,0,0,0,0,8,0,2,0,0
"DEN",0,0,20,20,20,0,0,0,0,0,0,0,7,0,16,20,0,0,8,0,0,20,0,0,0,0,12,9,0,0,0,0
"BAL",19,0,3,8,0,0,0,0,0,0,0,0,0,0,0,20,0,0,12.5,0,0,0,1,0,0,0,0,3,0,0,2,0
"OAK",0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"MIA",0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,20,0,20,4,5,0,0,0,0,3,3,0,0,0,0,0,0
"JAX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CIN",18,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,17,0,0,20,0,0,0,0,0,0,8,0,0,0,8
"BUF",0,0,17,10,0,0,0,0,0,0,3,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PHI",0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAR",0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,8,0,0,0,0,0,0,20,0,4,0,8
"NE",0,0,0,0,0,0,20,0,15.5,20,0,0,0,10,0,0,17.5,7,0,15,0,0,0,20,20,0,0,0,0,0,0,0
"IND",0,0,6,4,0,2,5,3,0,0.5,0,3,0,0,0,0,3,5.5,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"LA",0,0,0,0,0,0,0,0,0,0,13,0,14,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.5,0,0,4
"SEA",0,6,0,0,0,0,0,10,20,0,20,2,0,0,0,0,0,0,0,20,0,5,1,0,0.5,0,0,0,10.5,0,19,0
"PIT",5,0,3,3.5,0,0,0,0,17,0,0,0,0,0,0.5,0,0,0,2.5,0,2,0,0,0,0,0,0,0,0,0,0,15
"LAC",0,0,16,0,0,0,20,0,9,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
"SF",0,20,0,0,8,8,0,0,20,0,17.5,10,0,0,0,0,14,0,0,20,0,0,7,0,0,0,0,0,0,0,0,0
"ATL",20,0,16,0,3,13,0,0,0,0,3,0,0,6,0,2,0,0,0,0,13,0,0,0,0,0,0,20,0,0,6,8
"DAL",1.5,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,8,5,0,0,0,0,3,0,0,0,0,0
"WAS",1,0,0,17,9,0,0,11,0,0,0,0,2,0,3,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,8.5,0
