"","NE","CHI","HOU","NYJ","BUF","WAS","JAX","LA","ARI","LAC","TB","OAK","DEN","DAL","ATL","SF","KC","CAR","PIT","NO","MIN","CIN","CLE","NYG","PHI","GB","IND","TEN","BAL","MIA","SEA","DET"
"NE",0,0,23.5,0,4.5,14.5,0,0,0,0,0,0,0,26.5,0,0,0,0,0,0,0,0,0,3.5,0,0,10.5,13.5,0,9.5,0,0
"CHI",0,0,0,0,0,0,0,26.5,0,5.5,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0
"HOU",0,0,0,4.5,0,0,16.5,0,0,0,0,0,0,0,0,0,0,0,0,15.5,0,6.5,0,0,0,0,8.5,20.5,0,0,0,0
"NYJ",0,0,0,0,0,12.5,2.5,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,6.5,0,0,0,19.5,0,15.5,0,0
"BUF",0,0,6.5,5,0,0,0.5,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,0,0
"WAS",0,5.5,0,0,7.5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,29.5,0,0,0,3.5,15.5,0,0,0,0,0,0,0
"JAX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5,2,4.5,0,0,0
"LA",0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,9,0,0,0,0,0,0,14.5,0,0,0,0,0,0,0,7.5,3.5
"ARI",0,0,0,0,0,0,0,26.5,0,0,0,0,0,0,0,8.5,0,0,0,0,0.5,0.5,16.5,0,24.5,25.5,0,0,5.5,0,0,27.5
"LAC",0,0,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,0,0
"TB",0,0,0,0,0,0.5,0,0,0,0,0,0,0,1.5,3.5,0,0,0,0,0,0,0,0,0,29.5,0,0,0,0,0,0,0
"OAK",0,0,0,11.5,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0
"DEN",3.5,4.5,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0.5,4.5,0,0,16.5,0,0,0,0,0,0
"DAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,0,0
"ATL",0,0,0,0,0,0,8.5,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0
"SF",0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0
"KC",0,0,0,0,5.5,0,0,0,0,18,0,9.5,18.5,0,0,0,0,0,7.5,0,0,0,1.5,0,0,0,0,0,20.5,0,0,32.5
"CAR",0,0,0,0,0,25.5,0,0,0,0,25.5,0,0,19.5,15.5,0,0,1,0,8.5,0,0,0,5.5,8.5,5.5,0.5,19.5,0,0,6.5,0
"PIT",0,0,0,0,0,0,0,0,9.5,5.5,0,0.5,4.5,0,0,0,0,0,0,0,0,3,18.5,0,0,0,31.5,0,0,0,0,0
"NO",0,0,0,0,0,0,8.5,0,0,0,9.5,0,0,0,6,0,0,0,0,0,0,0,0,1.5,0,0,8.5,0,0,0,0,0
"MIN",0,11.5,0,0,0,0,0,0.5,0,0,0,18.5,0,0,12.5,0,3.5,0,0,0,0,0,0,29.5,0,0,0,0,0,0,0,11.5
"CIN",0,0,0,0,15.5,0,0,20.5,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,27.5,0,0,0,0,0,5.5,0,0,0
"CLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NYG",0,0,0,0,0,0,0,0,0,0,16.5,0,0,3.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,0,0
"PHI",6.5,0,0,0,0.5,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,11.5,0,0,0,0,0,0,0,0
"GB",0,0,0,0,0,0,0,0,0,4.5,0,11.5,0,18.5,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,1
"IND",0,0,0,0,0,0,0,0,0,0,10.5,0,1.5,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,8.5,0,0
"TEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0
"BAL",0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,8.5,0,0,0,0,0,0,2.5,0,0
"MIA",0,0,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,29.5,0,0,0,0
"SEA",0,0,0,0,0,0,0,0,11.5,0,0,0,0,3.5,0,16.5,0,0,6.5,0,33.5,0,14.5,0,0,0,0,0,31.5,0,0,0
"DET",0,3.5,0,0,0,0,0,0,0,0,0,2.5,0,0,0,12.5,0,0,0,10.5,0,0,0,0,28.5,0,0,0,0,0,0,0
