"","DEN","BUF","PIT","NO","NYJ","JAX","CAR","CHI","CLE","DET","IND","SF","LA","DAL","WAS","LAC","NE","ATL","PHI","KC","HOU","GB","BAL","TB","ARI","OAK","NYG","SEA","CIN","TEN","MIN","MIA"
"DEN",0,0,0,0,0,16,0,0,0,0,0,0,0,3,24,0.5,0,0,31,8.5,24,0,22,0,0,18,17,0,0,23,0,0
"BUF",0,0,0,0,7.5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10
"PIT",0,13,0,0,13,0,0,0,14,10,0,0,0,0,0,0,0,0,0,0,0,6,0.5,0,0,0,0,0,0,0,0,3
"NO",0,18,0,0,0,0,7,8,0,0,0,3,0,32,0,0,0,5,0,0,0,0,0,14,24,0,0,0,0,0,0,21
"NYJ",0,0,0,6,0,0,0,0,11,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,9,0,0,0,0,0,0
"JAX",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"CAR",0,0,0,0,9,0,0,0,0,0,0,1,14,0,0,0,4,11.5,0,0,0,0,0,19.5,0,0,38,0,0,0,25,4
"CHI",0,0,16,0,0,0,0,0,8,0,0,0,0,17,0,0,0,0,0,0,0,1,2,0,0,0,5,0,3,0,0,0
"CLE",0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"DET",0,0,0,0,0,0,0,4.5,14,0,0,0,0,1,8,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4.5,0
"IND",6,0,0,0,0,26.5,0,0,0,0,0,20,0,0,0,0,0,0,0,16,12.5,0,0,0,0,4,0,5,0,5.5,0,0
"SF",0,0,0,0,0,31,0,0,0,0,0,0,17,0,21,0,0,9,0,0,30,6,0,18,7.5,0,0,0,0,13,0,0
"LA",0,0,0,11,0,13,0,20,0,0,28,0,0,0,0,0,0,0,0,0,23,0,0,10,0,0,0,0,0,0,0,0
"DAL",0,0,0,0,0,0,0,0,0,0,0,0,24,0,7.5,0,0,0,6,0,0,0,0,0,0,8,3,0,0,0,3,0
"WAS",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"LAC",0,0,0,0,0,18,0,0,0,0,10,0,0,10,0,0,0,0,3,3,0,0,0,0,0,2,23,0,0,0,0,0
"NE",4,8.5,24,3,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,3,0,32,20,0,0,0,0,0,0,0,3
"ATL",0,3,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PHI",0,0,0,0,0,0,0,42,0,14,0,0,0,0,7.5,0,0,0,0,0,0,14,0,11,3,29,3,0,0,0,0,0
"KC",0,8,0,0,0,25,0,0,6,0,0,0,0,1,34,0,0,0,9,0,1,0,0,0,0,20,23,0,0,8,0,0
"HOU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
"GB",0,0,0,0,0,0,0,0,18,0,0,0,0,1,18,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,12,0
"BAL",0,0,0,0,16,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3,4
"TB",0,21,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"ARI",0,0,0,0,0,13,16,0,0,5,28,0,7.5,0,0,0,0,14,0,0,2,0,0,3,0,0,0,0,0,2,0,0
"OAK",0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"NYG",0,0,0,0,0,0,0,0,0,2,0,0,0,0,10.5,0,0,0,0,0,0,13,0,0,0,4,0,0,0,0,17,0
"SEA",0,0,0,26,0,28,5,0,0,0,0,12,11,0,0,0,0,23,0,0,2,0,0,3,2.5,0,23,0,0,8,20,0
"CIN",0,3,0.5,0,38,0,0,0,4.5,3,14,0,0,0,0,7,7,0,0,0,0,4,6.5,0,0,0,0,0,0,0,27,0
"TEN",0,0,7,0,24,1.5,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"MIN",0,0,7,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIA",0,0,0,0,3.5,0,0,0,13,0,4,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
